Datetime,ssrdc,ssrd,t2m,v10,u10
2023-01-13 15:00:00,638.12665,609.7361,303.7566,0.80280876,1.3722782
2023-01-13 16:00:00,475.28778,464.78665,303.56665,0.635746,1.1155844
2023-01-13 17:00:00,272.8139,271.59027,302.94067,0.4272766,0.6118479
2023-01-13 18:00:00,73.12444,73.217224,300.85693,-0.063747406,-0.40717983
2023-01-13 19:00:00,0.0,0.017222222,298.9309,-0.16700172,-1.2900381
2023-01-13 20:00:00,,,298.10864,-0.11311531,-1.8683214
2023-01-13 21:00:00,,,297.31006,0.14820766,-1.786479
2023-01-13 22:00:00,,,296.23486,0.37937737,-1.5087442
2023-01-13 23:00:00,,,294.97266,1.1022644,-1.7083626
2023-01-14 00:00:00,,,295.55713,1.0420065,-0.4010477
2023-01-14 01:00:00,,,294.91846,0.02818966,0.15004635
2023-01-14 02:00:00,,,293.64062,-0.34386635,0.116708755
2023-01-14 03:00:00,,,293.34717,-0.40434456,-0.15242863
2023-01-14 04:00:00,,,293.31494,-0.2936468,-0.388546
2023-01-14 05:00:00,,,292.23193,-0.3711586,-0.41597557
2023-01-14 06:00:00,,,291.19116,-0.6261425,-0.37777042
2023-01-14 07:00:00,0.0,0.0,290.45068,-0.78545094,-0.1825304
2023-01-14 08:00:00,91.92332,91.27069,292.80322,-0.6445713,-0.092473984
2023-01-14 09:00:00,303.6464,301.0234,296.84155,-0.26155758,0.13634586
2023-01-14 10:00:00,511.55112,510.64035,299.69458,-0.20569992,0.4171629
2023-01-14 11:00:00,676.94525,676.85834,301.53882,-0.1297636,0.9952507
2023-01-14 12:00:00,782.2119,779.91724,302.7505,0.05289173,1.4284945
2023-01-14 13:00:00,817.1875,811.1655,303.39746,0.35648155,1.4820108
2023-01-14 14:00:00,778.8997,754.8408,303.7268,0.5584421,1.3842115
2023-01-14 15:00:00,670.5897,657.3064,303.86304,0.59546185,1.1967115
2023-01-14 16:00:00,501.92056,492.41724,303.65283,0.5765114,0.98386097
2023-01-14 17:00:00,291.12888,290.77112,302.8462,0.50526905,0.5170088
2023-01-14 18:00:00,80.337776,80.748886,301.0266,0.5085602,-0.1780138
2023-01-14 19:00:00,0.0,0.02,298.35913,-0.03408909,-1.4302616
2023-01-14 20:00:00,,,297.2434,-0.014822006,-1.5858965
2023-01-14 21:00:00,,,296.06665,0.2052784,-1.7705736
2023-01-14 22:00:00,,,295.03418,0.46890736,-1.6299324
2023-01-14 23:00:00,,,293.8296,1.0525064,-2.0330544
2023-01-15 00:00:00,,,294.10693,1.1653538,-1.2516432
2023-01-15 01:00:00,,,294.1621,0.6065407,-0.03946972
2023-01-15 02:00:00,,,293.4309,-0.216115,-0.07689762
2023-01-15 03:00:00,,,291.563,-0.6294918,0.037823677
2023-01-15 04:00:00,,,290.94897,-0.93462086,-0.05660534
2023-01-15 05:00:00,,,290.4475,-1.0317945,-0.15167427
2023-01-15 06:00:00,,,289.93286,-1.0407639,-0.19294453
2023-01-15 07:00:00,0.0,0.0,289.13354,-1.1306353,-0.11048412
2023-01-15 08:00:00,89.26854,89.52953,291.5415,-1.0991955,0.112285614
2023-01-15 09:00:00,302.10083,302.59674,295.875,-0.7485304,0.22681713
2023-01-15 10:00:00,514.8384,515.49817,299.17212,-0.9292059,0.474823
2023-01-15 11:00:00,685.4311,685.99,301.2102,-1.2897615,0.9310732
2023-01-15 12:00:00,794.6903,795.2106,302.6377,-1.4942331,1.0496845
2023-01-15 13:00:00,831.93,832.44,303.64038,-1.630086,0.8778591
2023-01-15 14:00:00,794.4189,794.7894,304.18018,-1.519805,0.6958771
2023-01-15 15:00:00,685.49805,685.91113,304.38477,-1.3017578,0.61664486
2023-01-15 16:00:00,514.4472,514.32446,304.1267,-1.0512381,0.46423054
2023-01-15 17:00:00,299.9711,300.68555,303.073,-0.3032179,0.12765694
2023-01-15 18:00:00,84.19111,84.49944,300.66602,0.49448872,0.2432661
2023-01-15 19:00:00,0.0,0.14222223,300.91528,0.1928854,0.23860168
2023-01-15 20:00:00,,,299.50513,0.42238903,-0.39361095
2023-01-15 21:00:00,,,297.61987,0.31587982,-0.97586536
2023-01-15 22:00:00,,,295.4651,0.23297119,-1.3915977
2023-01-15 23:00:00,,,293.69458,-0.032274246,-1.7570868
2023-01-16 00:00:00,,,294.1858,-0.36312485,-1.2481022
2023-01-16 01:00:00,,,293.06885,-0.36265945,-0.36657143
2023-01-16 02:00:00,,,291.0266,-0.26916313,0.07199478
2023-01-16 03:00:00,,,289.70483,-0.6061344,0.40081024
2023-01-16 04:00:00,,,289.08618,-0.92121696,0.036767006
2023-01-16 05:00:00,,,288.08154,-1.2857962,-0.31744385
2023-01-16 06:00:00,,,287.65723,-1.2841825,-0.5031166
2023-01-16 07:00:00,0.0,0.0,286.81104,-1.0349436,-0.22742748
2023-01-16 08:00:00,102.45436,102.64341,289.96802,-1.3645544,-0.252697
2023-01-16 09:00:00,328.27805,328.2924,294.92554,-0.78502655,0.028307915
2023-01-16 10:00:00,543.3437,543.8374,298.3186,-0.61490536,0.129735
2023-01-16 11:00:00,712.68195,710.72015,300.6421,-0.43793774,0.00605011
2023-01-16 12:00:00,819.04553,816.38525,302.16333,0.053684235,-0.28465557
